Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist: Artificial Intelligence,-1,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Who you are
As Data Scientist, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Artificial Intelligence based technologies like H2O, Tensorflow.
Skills in designing algorithms, implementing pipelines, validating model performance, and developing interfaces such as APIs. Expertise in working with IBM Watson services using Python Also experience with Spark, Hadoop, SQL (HANA)",4.0,IBM,"Mumbai
Viewed on 1 January
New
1d",10000+ Employees,1911,Company - Public,IT Service,Information Technology,$10+ billion (USD)
Data Scientist - QuantumBlack,₹4L - ₹9L (Glassdoor Est.),"Who You'll Work With
As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using mathematics, statistics and machine learning to derive structure and knowledge from raw data across various industry sectors.
In this role, you’ll be aligned to one of our practices, Pharma & Medical Products (PMP) or Global Energy & Materials (GEM), to work on similar industry clients.
Our Pharma & Medical Products practice focuses on helping clients bring life-saving medicines and medical treatments to patients. You will work with the advanced analytics team across research & development (R&D), operations and commercial to build and scale digital and analytical approaches. This practice is one of the fastest growing practices and is comprised of a tight-knit community of consultants, research, solution, data and practice operations colleagues across the firm. PMP is also one of the most globally connected sector practices, offering ample global exposure.",4.4,McKinsey & Company,Gurgaon,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable
Data Scientist,-1,"The Luxury Closet is a company born in Dubai, the heart of luxury in the Arabian Peninsula, where we are redefining the world of luxury. We seek to challenge the norms, and build a company that inspires the smart modern day luxury consumer. In Dubai, we have learnt to dream big, think far, and do what no one thought possible. The Luxury Closet embodies these ideals, and aims to build an iconic brand and company that will connect luxury connoisseurs, and change the future of luxury shopping.
Our mission is to be the leading marketplace for luxury shoppers in the GCC region. We will build a destination that has world class customer experience, differentiated technology and operational performance, and exceptional reach into the closets of the region. We were ranked as the Top 100 Startups Globally by Red Herring in 2016 and Top 4 Startups in UAE by Forbes Magazine, however, we care less for accolades, than our NPS.
Some facts about The Luxury Closet:",-1,The Luxury Closet,"Gurgaon
Viewed on 1 January
4d",-1,-1,-1,-1,-1,-1
Data Science-Analyst/Consultant-A&C,₹4L - ₹8L (Glassdoor Est.),"Position Summary
Strategy & Analytics
Strategy
Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients’ businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation.
Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value.
Strategy will help our clients:
Identify strategies for growth and value creation",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Executive - Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Description

ABOUT THIS JOB
Data science drives everything we do here at NielsenIQ. Our statistical research is at the forefront of an industry moving at the speed of light. GDDC is responsible for all Design related activities in Data science. GDDC is basically responsible for setting up the base of any product like retail index, E-comm, Cash & Carry, Scan track service (new/existing). They work closely with all the stakeholders to understand the client requirements &amp; provide recommendations/suggestions so as to best build up the product which balances expectations from both the client and methodological requirements. The GDDC team is responsible for processes starting from scope definition to panel sample design which would include processes like Sample design, extrapolation, and simulation, etc.",3.9,NielsenIQ,Vadodara,10000+ Employees,1923,Company - Private,Unknown / Non-Applicable,-1,-1
Data Scientist,-1,"Job Description Summary
The Data scientist will work in teams addressing statistical and machine learning problems in Contractual Services Agreement (CSA) / Technologies or consultancy development environment. In this role, the person will contribute to the development and deployment of modern machine learning, deep-learning, statistical methods, semantic analysis for finding structure in large data sets.
Job Description
Essential Responsibilities
The Data Scientist will be a part of Contractual Services Agreement (CSA) & Technologies working on projects typically involving large, complex data sets. Develop data science models to address product and services engineering teams needs and opportunities. Work alongside software developers and software engineers to translate algorithms into viable products and services. Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics including image analytics. Perform exploratory and targeted data analysis using descriptive statistics and other methods. Work with data engineers on data quality assessment, data cleansing and data analytics. Generate reports, annotated code, and other projects artifacts to document, archive, and communicate the work and outcomes. Share and discuss findings with team members.",3.7,GE Aviation,"Bangalore
Viewed on 1 January
30d+",1001 to 5000 Employees,1917,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$25 to $50 million (USD)
Advanced Data Scientist,-1,"Innovate to solve the world's most important challenges
Senior Advanced Data Scientist for HR – Workforce & Intelligent Skill Planning

Deliver business value through Right and Fast partnership
Who We Are
Honeywell is a Fortune 100 company with global sales surpassing $40B and has been one of Fortune’s Most Admired Companies for over a decade. Through innovation, the Company brings together the physical and digital world to tackle some of the toughest societal and business problems – making the world a more productive, safe, and sustainable place.
The business is organized into five primary groups: Aerospace, Buildings, Performance Materials and Technologies, Safety and Productivity Solutions, and the Connected Enterprise. Honeywell specializes in things that are critically connected - beyond smart phones and laptops, we make the kinds of connections that keep cities working, planes flying, plants running, and workers safe. Our unique capabilities, over a century in the making, bring together data, expertise, and technology to connect people, processes, and assets.
Honeywell International is building a world that’s safer and more secure, more comfortable and energy efficient, more innovative and productive. For more information, please visit Honeywell.com or follow us @HoneywellNow.
Who You Are
We’re looking for a new team member who is motivated by cracking tough challenges with data, trained in problem solving, and with an unending thirst for learning.
As a Senior Advanced Data Scientist in Predictive Analytics of People Analytics team, you will join a high-performing, global team, and assist with designing, developing, and deploying data driven solutions for Human Resources & Communications function. You will be assigned to Data Science projects of “Workforce Planning & Intelligent Skill Planning” and “Talent Bench/E2E Learning – Talent Pipeline and Career Builder”. You will work closely with application architects to integrate results into operational platforms including containerized microservices and distributed compute and storage architectures.
Additionally, the Senior Advanced Data Scientist role is expected to work within Honeywell Human Resources & Communications function to identify opportunities for new growth and efficiencies based on data analyses both in adjacencies based on previous engagements, as well as larger industry developments.

Specific Responsibilities

Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs
Foster relationships with Human Resources & Communications team by being proactive, displaying a thorough understanding of the business processes and by recommending innovative solutions
Communicate project output in terms of customer value, business objectives, and product opportunity
Promote data science methods and processes across functions
Work with our businesses and infrastructure teams to develop a strategy that will clearly outline how our enterprise platforms can enable business growth & productivity",3.8,Honeywell,"Bangalore
Viewed on 1 January
4d",10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,"Come create the technology that helps the world act together
Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.
We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work.
The team you'll be part of
The Customer Experience organization provides a common interface to customers including account and relationship management, acting as the voice of the customer internally and creating demand across our business groups. While bringing deep understanding of local markets for our customer, the CX organization ensures strong alignment between sales and delivery teams.",3.7,NOKIA,"Noida
Viewed on 1 January
5d",10000+ Employees,1865,Company - Private,Telecommunications Service,Telecommunication,$10+ billion (USD)
Data Scientist,₹7L - ₹12L (Employer Est.),"Knowledge of querying data from databases.
High level of competence in Data Interpretation, Logical Reasoning, and Problem-Solving.
Ability and willingness to work with large amounts of data and work on multiple projects simultaneously.
Advanced level of Knowledge in Mathematics, Statistics, or Economics.
Excellent communication skills.
Work with the Managers to optimize analytical solutions.
Review peer work and help mentor new joiners.
Strong problem-solving ability: Candidate needs to exhibit structured thinking, strong Analytical Skills, and Process Orientation * Strong in Data analytics: The candidate should be proficient in SQL and Excel. Python/R will be added advantage.*",-1,Lendingtree Research Services LLP,Ahmedabad,-1,-1,-1,-1,-1,-1
Data Scientist Trainee,-1,"Company Overview
Incedo is a US-based consulting, data science and technology services firm with over 2,500 people helping clients from our six offices across US and India. We help our clients achieve competitive advantage through end-to-end digital transformation. Our uniqueness lies in bringing together strong engineering, data science, and design capabilities coupled with deep domain understanding. We combine services and products to maximize business impact for our clients in telecom, financial services, product engineering and life science & healthcare industries.
Working at Incedo will provide you an opportunity to work with industry leading client organizations, deep technology and domain experts, and global teams. Incedo University, our learning platform, provides ample learning opportunities starting with a structured onboarding program and carrying throughout various stages of your career. A variety of fun activities are also an integral part of our friendly work environment. Our flexible career paths allow you to grow into a program manager, a technical architect or a domain expert based on your skills and interests. Job Description
Data Scientist-Analyst


: Data Scientist-Analyst We are looking for self-motivated data scientists to join our Data science team. As a data scientist, candidate is expected to understand a business problem, formulate possible approaches and use required analytical techniques or/and develop machine learning or statistical models to solve the same. They are expected to display a maturity in deciding the solution approach keeping stakeholders in mind.

Role and responsibilities

Technical skills requirements

The candidate must demonstrate proficiency in,

Nice-to-have skills

Qualifications

Company Value
We are an Equal Opportunity Employer

We value diversity at Incedo. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.0,Incedo,"Gurgaon
Viewed on 1 January
30d+",1001 to 5000 Employees,2012,Company - Private,IT Service,Information Technology,$100 to $500 million (USD)
Data Scientist,-1,"Job ID: 133783
Required Travel :Minimal
Managerial - No
Location: :India- Pune (Amdocs Site)
Who are we?
At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better connected world. Amdocs and its 25,000 employees serve the leading players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.1 billion in fiscal 2019. For more information, visit Amdocs at http://www.amdocs.com",3.9,amdocs,"Pune
Viewed on 1 January
30d+",10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
Decision Scientist - GoFood,₹8L - ₹9L (Glassdoor Est.),"Location
Bengaluru
Work Type
Permanent
Application Posted
December 17, 2021
About the Role

They say no man is an island, and this holds true here at Gojek. As our Decision Scientist, you’ll be part of the data team that directly impacts Gojek’s GoFood. Your main objective will be to create business impact at scale. The Business and Product Team will be your companions during this ride. Best yet, you’ll have the opportunity to flex your analytics and DS skills!. What differentiates Gojek from other companies is the pace at which you can see your analysis and insights come to life and impact of millions of customers and thousands of merchants partners.",4.3,GO-JEK,Bangalore,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable
Data Scientist (Computer vision),₹20L (Employer Est.),"Responsibilities:
- Developing a state of the art computer vision algorithms to automate or assist doctors in diagnosing ECG and Echocardiogram
- Building dataset by collecting and annotating images/videos if required
- Developing efficient image processing algorithms and deep learning models for image/video classification, segmentation, and analysis
Mandatory Skills:
- Proficient in image processing, classical machine learning, and deep learning
- Professional experience of 2-3 years in developing production-level Computer Vision products from scratch (Masters or Bachelors in Computer Science / Electronics)
- Proficient in C++ or Python
- Proficient in OpenCV
- Proficient in either Tensorflow, Keras, and/or PyTorch
- Self-driven, passionate, and team player",-1,Tricog Health India Private Limited,Bangalore,51 to 200 Employees,2015,Company - Private,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable
Data Science Internship,₹1L - ₹6L (Employer Est.),"We are providing six month training for data science.
After six months we will hire you directly through our company as a position Júnior Data Scientist.
Any Degree candidates can apply(Freshers).
Male and Female candidates can welcome.
Job Types: Full-time, Regular / Permanent, Internship, Fresher
Salary: ₹10,000.00 - ₹50,000.00 per month
Benefits:",-1,Oracuz Infotech Pvt Ltd Company,Thiruvananthapuram,-1,-1,-1,-1,-1,-1
Urgent Opening for DATA SCIENTIST ROLE,₹9L (Employer Est.),"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Smart Infrastructure Division in Siemens Ltd. is one of the leading global suppliers of products, systems, solutions, and services for the efficient, reliable, and intelligent transmission and distribution of electrical power. As the trusted partner for the development and extension of an efficient and reliable power infrastructure that industry and the portfolio they need.

This includes facilities and systems for the low-voltage and distribution power grid level, smart grid and energy automation solutions, power supply for industrial plants, and high-voltage transmission systems.

We make real what matters. This is your role...

You have an experience in Spark, Hadoop, HBase, SCALA, NoSQL, Java, Big Data, Solr, Python, Machine Learning, information retrieval.",4.1,Siemens Limited,"Goa
Viewed on 1 January
22d",5001 to 10000 Employees,2004,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,₹5L - ₹20L (Employer Est.),"Data Scientist
We are seeking a Data Scientist to join our growing Analytics & Reporting team with strong hands-on analytical skills who can leverage disparate datasets, ensure data integrity and quality, create innovative solutions, and provide actionable insights to improve quality, service and customer outcomes. The ideal candidate will have experience with database technologies, operational analytics, working knowledge of Artificial Intelligence/Machine Learning (AI/ML) techniques. You will use statistical creativity and intellectual curiosity to create some of the most impressive statistical analyses that will propel our clients to the next level.
Responsibilities
· Be a collaborative member of a group that translates business questions into practical results and actionable insights.
· Analyze complex data sets, develop standardized processes, and support various ad-hoc analytic requests like KPI reporting, customer profiling, campaign response analysis, and advanced analytic modeling.",-1,,Bangalore,-1,-1,-1,-1,-1,-1
USI-EH22-EA-CMG-Tech CoE- Data Scientist-A,-1,"Position Summary

Deloitte US Client and Market Growth – Technology CoE - Analyst (Data scientist)
About Deloitte US Client and Market Growth organization
U.S. India, Client and Market Growth organizations (CMG) drive the marketing programs, initiatives, and priority client-facing programs in the U.S. regions. India CMG is focused on quality and operational excellence and is constantly challenging and refining its business model to ensure proper support of marketing processes, services, and deliverables in the United States. Mission of CMG is to support, augment, and complement marketing efforts of Deloitte through the development of marketing and business development materials and services.",3.9,Deloitte,"Gurgaon
Viewed on 1 January
10d",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Geoinformatics Data Scientist & Programmer (Ref. No. 2161),₹12L - ₹23L (Employer Est.),"Join CIFOR and make a difference!
Geoinformatics Data Scientist & Programmer (Ref. No. 2161)
Trees Outside Forest in India (TOFI)

The Center for International Forestry Research (CIFOR) and World Agroforestry (ICRAF) envision a
more equitable world where forestry and landscapes enhance the environment and well-being for all.
CIFOR-ICRAF are non-profit, scientific institutions that conduct research on the most pressing
challenges of forest and landscape management around the world. Using a global, multidisciplinary
approach, we aim to improve human well-being, protect the environment, and increase equity. Our
work focuses on innovative research, developing partners’ capacity, and actively engaging in dialogue
with all stakeholders to inform policies and practices that affect forests and people. Our work spans
the globe, with expertise in the ‘global South’. Founded in 1993 and 1978 respectively, CIFOR-ICRAF
are members of CGIAR, a global research partnership for a food secure future dedicated to reducing
poverty, enhancing food and nutrition security, and improving natural resources.













allowance, leave travel allowance, children education allowance,
etc
are entitled for in-patient medical health insurance policy; and for
outpatient medical care (equivalent to one month salary plus fixed
dearness allowance) for a calendar year",3.8,World Agroforestry Centre,New Delhi,201 to 500 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,₹30L - ₹45L (Employer Est.),"Job Description
Roles and Responsibilities
Jubilant FoodWorks is amidst transformation & expansion which will fuel the next level of growth and this creates both challenges and opportunities. While JFL is the largest QSR in the sub-continent, it is set to double in scale & size with a vision towards becoming a 2000+ Restaurant with Multi Business, Multi Product, Multi Country Operations.

Analytics & Insights function:
Our vision is to build Analytics & insight function a strategic differentiator for the company.",4.0,Jubilant FoodWorks,Noida,10000+ Employees,1995,Company - Public,Fast-Food & Quick-Service Restaurant,"Restaurants, Bars & Food Service",Unknown / Non-Applicable
Data Scientist,-1,"Clariant is a focused and innovative specialty chemical company based near Basel in Switzerland. Last year the company recorded CHF 6.6 billion in sales harnessing the talents of its 18 000 employees across 53 countries.
Clariant’s portfolio is optimized for future growth, with a focus in four business areas: Care Chemicals, Catalysts, Natural Resources, and Plastics & Coatings.
We believe that our growth is all about our customers and their success. Investment in innovation capabilities and developing inspiring environments for courageous and determined minds are therefore key to reaching our goal.
Join us and help create sustainable value through chemistry for customers all over the globe.",3.8,Clariant,"India
Viewed on 1 January
30d+",10000+ Employees,1995,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Scientist / Decision Scientist,-1,"Job Role & Responsibilities

Role:
Data Scientist Responsibilities:  Architect a data based solution for the business problem presented. Develop contextual automotive domain knowledge around the problem. Collaborate with the domain knowledge expert if required.

 Understand the IoT device (Telematics Control Unit) of the vehicle. Develop understanding of Time-Series Data originating from TCU.

 Understand the data landscape, establish the data adequacy beforehand

 Clean up and Prepare datasets for modeling, get involved in ETL process if required. Apply data transformation techniques such as resampling, filtering, encoding etc.

 Exploratory data and get insights. Present the descriptive stats and insights to the domain experts. Find meaningful patterns in data, detect seasonality and trend, establish cause and effect relationships in data. Develop & Test hypothesis in collaboration with the domain experts.

 Design features, shortlist features, study feature importance, decide the ML strategy  Data modelling, selection of an appropriate machine learning / deep learning model, data pipeline setup for model training, hyper-parameter tuning, validation and test. Apply ensemble model techniques (if required)

Comprehension of reports, visualization of data in the form of plots. Creating Heat Maps using Google Maps API  Mentoring juniors in data science

Technical Skills / Experience

 Must have minimum of 3 years of industry experience in developing data science models.

 Experience using machine learning algorithms (e.g. Generalized Linear Models, Boosting, Decision Trees, Neural Networks, SVM, Bayesian Methods, time series models, etc.)

 Hands-on experience in using machine learning models for regression and classification problems.

 Hands on experience in unsupervised machine learning algorithms. Working knowledge of clustering techniques such has, centroid based clustering.

 Working experience with Cloud Computing Platforms such as AWS / IBM  Strong programming skills in python is a must. Working experience with pandas, numpy, matplotlib, sklearn

 At least 3 years of industry experience in one or more full-time Data Science/ML roles

 Data Visualization techniques. Knowledge of visualization tools",3.9,Maruti Suzuki India Ltd,"Bangalore
Viewed on 1 January
18d",10000+ Employees,Company - Public,Transport Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist,-1,"Position Title: Data Scientist
Department: Transformation Team


Job Purpose

To support the data driven decision making for DBS products, processes, and business through the creation of data dashboards, infographics, models per business requirement.",3.9,DBS Bank,"Maharashtra
Viewed on 1 January
10d",10000+ Employees,1968,Company - Public,Banks & Building Society,Finance,$5 to $10 billion (USD)
Data Scientist,₹8L - ₹10L (Glassdoor Est.),"Position Summary
Job Title— Data Scientist in Controllership Services—Deloitte Advisory
Deloitte & Touche’s Controllership market offering helps CFOs, CCOs, controllers, and business unit finance leaders reduce financial reporting risk resulting from changes in statutory reporting requirements, market volatility, and corporate actions or events; increase the financial integrity and transparency of cost allocations; enhance the efficiency of the “last mile of finance;” transform the finance function; and enhance the value that finance delivers to their business.
Work you will do",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,₹25L (Employer Est.),"Multiple development and support Data Science Projects
Multi Domain Data Scientist with 6months of Core Data Science experience, mostly in Machine Learning (Regression, Classification and time series models).
Person must be very strong on various type of ML models (How to select right model, expertise on various stages of model development and ability to put model in production
Desirable: Exp in Deep learning (NLP, NER, Computer Vision techniques).
Machine learning
Deep learning
R, Python
Job Types: Full-time, Regular / Permanent",4.0,Evoke Technologies,Hyderābād,501 to 1000 Employees,2003,Company - Private,IT Service,Information Technology,$25 to $50 million (USD)
Data Scientist I,-1,"Department
Analytics and Business Intelligence
Job posted on
Dec 21, 2021
Employment type
Permanent
Experience range
0 - N.A.
Data Scientist – Analytics and Business Intelligence

Objective of our team is to drive sustainable data-driven decision making across the organization. This involves understanding business problems and opportunities, digging into data to validate hypotheses, building Data Science models, and putting in place reports and processes to enable sustainable use of data in decision-making.",3.7,Delhivery,"Bangalore
Viewed on 1 January
9d",10000+ Employees,2011,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
Sr. Data Scientist-I,₹5L - ₹8L (Glassdoor Est.),":
India is among the top ten priority markets for General Mills, and hosts our Global Shared Services Centre. This is the Global Shared Services arm of General Mills Inc., which supports its operations worldwide. With over 1,300 employees in Mumbai, the center has capabilities in the areas of Supply Chain, Finance, HR, Digital and Technology, Sales Capabilities, Consumer Insights, ITQ (R&D & Quality), and Enterprise Business Services. Learning and capacity-building is a key ingredient of our success.
Job Description:
Job Overview
General Mills is seeking a Data Scientist to join the Data Science and Analytic Engineering team (DSAS) in the Enterprise Data Capabilities function. It is tasked with collaborating with and enabling existing functional data science and analytics teams. This team also provides data science expertise and services to advance initiatives around demand forecasting, text classification, operational analytics, and machine learning to name just a few. It is also responsible for curating a community of practice to determine the best standards and practices around data science at General Mills.",4.1,General Mills,Mumbai,10000+ Employees,1866,Company - Public,Food & Drink Manufacturing,Manufacturing,$10+ billion (USD)
Junior Data Scientist,-1,"Company Description

Publicis Groupe is one of the largest communications groups and prides itself on being the one and only in the industry that can accompany its clients in their digital business-transformation journey, across the world. We are constantly growing in emerging technology trends, and ensuring we are future-proofing our business and expertise, ahead of our Clients, in order to deliver the best results for their businesses.

Job Description

We are looking for a Junior Research Engineer that will define the novel protocols/algorithms to help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action.",3.8,Publicis Groupe,"Mumbai
Viewed on 1 January
Easy Apply
14d",10000+ Employees,1926,Company - Private,Advertising & Marketing,Business Service,$5 to $10 billion (USD)
Data Scientist - RI,-1,"At EY, you will have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we are counting on your unique voice and perspective to help EY become even better too. Join us and build an exceptional experience for yourself, and a better working world for all.

Job Title: Data Scientist
Function: EY Insights
Job Rank:Supervising associate
Sub Function: Research Institute
Reports to: Advanced Insights Lead

Job Summary:",3.8,EY,"Gurgaon
Viewed on 1 January
22d",Unknown,Unknown,Unknown / Non-Applicable,-1,-1,-1
"Spec, Data Scientist",₹7L - ₹7L (Glassdoor Est.),"Defines, develops, maintains and delivers strategic data science products that demonstrate the value and effectiveness of the organization. May allocate/coordinate work within a team/project. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties : model science, feature science and Insight science capabilities. Accountable for developing and guiding more junior members.Defines, creates and maintains a meaningful insights. Establishes relationships to obtain data and subject knowledge needed to support advanced analytics. Conducts studies to provide additional facts needed to make informed decisions with regard to organizational and functional effectiveness with data decisioning.Communicates effectively with technical and business staff. Develops reports, and prepares and delivers both informational and decision-seeking presentations.Stays abreast of organization and management changes and has advanced knowledge of company practices relevant to data science products.Maintains knowledge of company's total computing environment and planned changes in order to develop meaningful data science products.Supervises resources by providing instruction, making assignments, directing and checking the work of applications developers. Provides training in technical tools and skills, as well as specific applications and their business functions to maximize their contribution.Grow and develop skills across the 3 domain specialties: model science, feature science and Insight science capabilities. Stressing expertise in the core functional areas: Computer Programming, Math&Analytic Methodology, Distributed computing and communications of complex results.Contributes to the achievement of related teams' objectivesMODIFIED BASED UPON LOCAL REGULATIONS/REQUIREMENTSBachelor's degree in a related discipline or equivalent work experience required6-8 years of related experience required; experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals with Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",3.5,BNY Mellon,Pune,10000+ Employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist: Artificial Intelligence,-1,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Who you are
As Data Scientist, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Artificial Intelligence based technologies like H2O, Tensorflow.
Skills in designing algorithms, implementing pipelines, validating model performance, and developing interfaces such as APIs. Expertise in working with IBM Watson services using Python Also experience with Spark, Hadoop, SQL (HANA)",4.0,IBM,"Mumbai
Viewed on 1 January
New
1d",10000+ Employees,1911,Company - Public,IT Service,Information Technology,$10+ billion (USD)
Data Scientist - QuantumBlack,₹4L - ₹9L (Glassdoor Est.),"Who You'll Work With
As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using mathematics, statistics and machine learning to derive structure and knowledge from raw data across various industry sectors.
In this role, you’ll be aligned to one of our practices, Pharma & Medical Products (PMP) or Global Energy & Materials (GEM), to work on similar industry clients.
Our Pharma & Medical Products practice focuses on helping clients bring life-saving medicines and medical treatments to patients. You will work with the advanced analytics team across research & development (R&D), operations and commercial to build and scale digital and analytical approaches. This practice is one of the fastest growing practices and is comprised of a tight-knit community of consultants, research, solution, data and practice operations colleagues across the firm. PMP is also one of the most globally connected sector practices, offering ample global exposure.",4.4,McKinsey & Company,Gurgaon,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable
Data Scientist,-1,"The Luxury Closet is a company born in Dubai, the heart of luxury in the Arabian Peninsula, where we are redefining the world of luxury. We seek to challenge the norms, and build a company that inspires the smart modern day luxury consumer. In Dubai, we have learnt to dream big, think far, and do what no one thought possible. The Luxury Closet embodies these ideals, and aims to build an iconic brand and company that will connect luxury connoisseurs, and change the future of luxury shopping.
Our mission is to be the leading marketplace for luxury shoppers in the GCC region. We will build a destination that has world class customer experience, differentiated technology and operational performance, and exceptional reach into the closets of the region. We were ranked as the Top 100 Startups Globally by Red Herring in 2016 and Top 4 Startups in UAE by Forbes Magazine, however, we care less for accolades, than our NPS.
Some facts about The Luxury Closet:",-1,The Luxury Closet,"Gurgaon
Viewed on 1 January
4d",-1,-1,-1,-1,-1,-1
Data Science-Analyst/Consultant-A&C,₹4L - ₹8L (Glassdoor Est.),"Position Summary
Strategy & Analytics
Strategy
Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients’ businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation.
Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value.
Strategy will help our clients:
Identify strategies for growth and value creation",3.9,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Executive - Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Job Description

ABOUT THIS JOB
Data science drives everything we do here at NielsenIQ. Our statistical research is at the forefront of an industry moving at the speed of light. GDDC is responsible for all Design related activities in Data science. GDDC is basically responsible for setting up the base of any product like retail index, E-comm, Cash & Carry, Scan track service (new/existing). They work closely with all the stakeholders to understand the client requirements &amp; provide recommendations/suggestions so as to best build up the product which balances expectations from both the client and methodological requirements. The GDDC team is responsible for processes starting from scope definition to panel sample design which would include processes like Sample design, extrapolation, and simulation, etc.",3.9,NielsenIQ,Vadodara,10000+ Employees,1923,Company - Private,Unknown / Non-Applicable,-1,-1
